Tract_ID,P2010,None,Baseline_only,Baseline,Elev,LC,RZ,Soil,SPI,Tree,Static,Static_reduced,Dynamic,Dynamic_reduced,Full,Full_reduced
48157675600,5808,0.061970925,0.061970925,0.061970925,0.05088872,0.08706491,0.087985094,0.077133239,0.12013896,0.142884312,0.152536217,0.118548508,0.130145027,0.13384154,0.198851233,0.16764421
48157675700,6808,0.062203281,0.062203281,0.062203281,0.041100979,0.050537402,0.034609791,0.018713881,0.11565801,0.120766937,0.140824585,0.065070053,0.131907103,0.137707917,0.184028837,0.154857583
48157675800,3392,0.057973151,0.057973151,0.057973151,0.039949916,0.081580324,0.065012751,0.086163941,0.12577023,0.130870573,0.140095685,0.05984262,0.116349257,0.119104947,0.189220597,0.17406636
48163950100,6200,0.042209203,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48175960100,4054,0.1468627,0.1468627,0.1468627,0.118874933,0.283240396,0.18864224,0.213066393,0.206744067,0.373404204,0.395899292,0.407338266,0.214544917,0.195989883,0.36443382,0.370048433
48175960200,3156,0.290582906,0,0.290582906,0.259296715,0.317468887,0.198970215,0.361112327,0.331636527,0.345450925,0.370454063,0.393915347,0.415564477,0.401730097,0.41793939,0.41456505
48177000100,3103,0.174475961,0.174475961,0.174475961,0.111251018,0.181600864,0.137016755,0.161030157,0.28487913,0.307558833,0.308330806,0.308967414,0.30356231,0.309443667,0.36241549,0.37131949
48177000200,4874,0.135415736,0.135415736,0.135415736,0.242595818,0.239308359,0.245860131,0.12740379,0.331277897,0.286876749,0.313244207,0.328472197,0.32866902,0.317732133,0.34590142,0.35237696
48177000300,3520,0.183471161,0.183471161,0.183471161,0.305328494,0.381084772,0.092465941,0.307320827,0.40866217,0.323120619,0.393213957,0.390121843,0.37338843,0.405439333,0.396470433,0.423936783
48177000400,2114,0.194483666,0.194483666,0.194483666,0.317979505,0.321394235,0.131310085,0.329292353,0.411889847,0.397052379,0.42966743,0.38269518,0.385655883,0.410753577,0.442289173,0.448575347
48177000500,3681,0.164828548,0.164828548,0.164828548,0.259267981,0.27724978,0.142552457,0.206671857,0.334871863,0.336138626,0.368353347,0.32330371,0.357202217,0.345553723,0.380789367,0.38471093
48177000600,2515,0.143514992,0.143514992,0.143514992,0.261514704,0.267077266,0.185979661,0.18614219,0.35146042,0.321910357,0.348299584,0.336727483,0.335089393,0.325457703,0.37905655,0.381325557
48187210100,4463,0.142124528,0.142124528,0.142124528,0.366224936,0.341877618,0.107354216,0.269874363,0.271190693,0.29565128,0.394137356,0.37691698,0.341512957,0.338384277,0.41944232,0.431189743
48187210200,4528,0.136404387,0,0.136404387,0.383873346,0.31765039,0.113160349,0.265877987,0.244925227,0.313245877,0.40432296,0.416097612,0.301796767,0.30899663,0.441140487,0.43649695
48187210300,6221,0.153758626,0.153758626,0.153758626,0.369893499,0.339922453,0.158049068,0.261139173,0.26181092,0.28486298,0.380868428,0.368025627,0.323904397,0.32129169,0.41032056,0.410590087
48187210400,3843,0.174052933,0.174052933,0.174052933,0.363453272,0.270834737,0.136546434,0.275951523,0.296151733,0.294460054,0.371420555,0.34162759,0.377219837,0.339440833,0.382429007,0.380260277
48187210504,5708,0.169767527,0,0.169767527,0.291297544,0.320086773,0.138749717,0.18223339,0.17249251,0.331787127,0.385956295,0.380104523,0.21888663,0.24432205,0.359880837,0.379645777
48187210505,4949,0.155454718,0.155454718,0.155454718,0.296200858,0.414629209,0.118257313,0.1562169,0.171955363,0.301269227,0.379903085,0.403254323,0.208941043,0.238921443,0.40048721,0.38762272
48187210506,2744,0.150497479,0.150497479,0.150497479,0.241351988,0.341952521,0.112285193,0.20060512,0.260841227,0.31170419,0.365659908,0.415369423,0.23979815,0.20895324,0.40569333,0.391883617
48187210507,4920,0.141599254,0.141599254,0.141599254,0.313744656,0.259146123,0.158184026,0.19228007,0.152924443,0.25875418,0.380707567,0.316009987,0.198704293,0.185627003,0.319603713,0.33409021
48187210508,2662,0.119895622,0.119895622,0.119895622,0.265488255,0.365484959,0.084775862,0.113978883,0.119298383,0.230276005,0.396432358,0.388243897,0.181281823,0.190460017,0.38745795,0.371697803
48187210603,1980,0.181954617,0,0.181954617,0.376011868,0.493808919,0.169791995,0.232556967,0.22746884,0.38743361,0.415411512,0.459665473,0.30237427,0.28459452,0.448819007,0.462749257
48187210604,7557,0.146265029,0.146265029,0.146265029,0.330877663,0.519991138,0.158443719,0.156332327,0.206293827,0.369561122,0.442860364,0.496436709,0.280520697,0.229639293,0.420472003,0.447911067
48187210606,3179,0.157974926,0,0.157974926,0.366757414,0.4588362,0.203489175,0.27130692,0.174051477,0.364447174,0.427660307,0.505439305,0.255367357,0.246387963,0.40460977,0.46245525
48187210607,8024,0.163739885,0.163739885,0.163739885,0.401113401,0.436911055,0.248834264,0.181018903,0.254057968,0.36289524,0.445353968,0.493663643,0.262299423,0.26341752,0.43021552,0.435930807
48187210608,3811,0.158825337,0.158825337,0.158825337,0.330789603,0.412112603,0.10920762,0.20729236,0.14500504,0.320421832,0.43111816,0.43133684,0.217696977,0.189400547,0.409113593,0.403861273
48187210705,2997,0.153301151,0.153301151,0.153301151,0.392403241,0.343741402,0.197450763,0.225264017,0.374900412,0.332727296,0.456560485,0.445531086,0.427194203,0.300762077,0.426591853,0.416007483
48187210706,4688,0.121978838,0.121978838,0.121978838,0.433310737,0.385937786,0.187436961,0.21773298,0.374687332,0.317862516,0.453179782,0.46682388,0.44124554,0.326296273,0.455263633,0.433063653
48187210707,4254,0.12021673,0.12021673,0.12021673,0.347280029,0.386748575,0.175310112,0.260207907,0.356088308,0.383329688,0.45305831,0.458133262,0.40908714,0.3494975,0.44719384,0.430606917
48187210708,6396,0.282601657,0.282601657,0.282601657,0.455134788,0.402336091,0.353271645,0.23625359,0.380007437,0.364194818,0.423010821,0.444807556,0.40397083,0.31079433,0.441874833,0.40777391
48187210709,4516,0.114396156,0.114396156,0.114396156,0.321931429,0.260117445,0.233438929,0.198774507,0.360863642,0.354742553,0.405032278,0.403899646,0.407703907,0.289059643,0.43154157,0.401099283
48187210710,3509,0.184902905,0.184902905,0.184902905,0.410476544,0.452431833,0.255389764,0.222420983,0.373253932,0.430785966,0.460563864,0.484419649,0.423867153,0.30894169,0.483921533,0.475111043
48187210711,3235,0.222890574,0.222890574,0.222890574,0.331785692,0.428483053,0.26157412,0.227858177,0.370987477,0.352723739,0.454723474,0.467107705,0.408098813,0.294913267,0.436305097,0.45390866
48187210712,4496,0.164656912,0.164656912,0.164656912,0.379698874,0.332701193,0.280677763,0.22663351,0.36708029,0.309389056,0.449186439,0.449971397,0.39577798,0.30340079,0.429251527,0.40185701
48187210713,4462,0.162256596,0.162256596,0.162256596,0.35914118,0.459937084,0.253876987,0.20193833,0.380056378,0.401509461,0.480240237,0.485435383,0.381612043,0.298864053,0.46753095,0.486281207
48187210714,6472,0.138896529,0.138896529,0.138896529,0.334840906,0.414720355,0.170213396,0.198230783,0.368442335,0.353879235,0.436153226,0.455143774,0.384316517,0.285209373,0.44076996,0.446238383
48187210801,5052,0.114038769,0.114038769,0.114038769,0.377001237,0.268135555,0.130909628,0.244985943,0.17934864,0.329190762,0.353957126,0.37559072,0.23281895,0.256260487,0.384353727,0.380794617
48187210803,3830,0.167835098,0.167835098,0.167835098,0.313001861,0.2547692,0.079673662,0.137125243,0.190435903,0.309661194,0.336512841,0.345374386,0.241918667,0.2271749,0.38579043,0.396212973
48187210804,4029,0.10245157,0,0.10245157,0.312655851,0.367148132,0.097619899,0.139252993,0.18116544,0.315298765,0.384547417,0.399621016,0.227721363,0.21551911,0.383957313,0.38421334
48187210901,5413,0.179074206,0.179074206,0.179074206,0.340563943,0.18595763,0.109867906,0.150911647,0.271904607,0.267651833,0.31305671,0.337428326,0.313320783,0.29669654,0.35732669,0.351407163
48187210902,3595,0.13326877,0.13326877,0.13326877,0.351086308,0.138715077,0.125112114,0.13391497,0.224482997,0.280309686,0.289619474,0.246239765,0.26789268,0.236393923,0.34246912,0.317908573
48209010100,2249,0.037482672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010200,6030,0.286732721,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48209010302,4356,0.152637308,0.152637308,0.152637308,0.315972997,0.204369777,0.178484377,0.154267472,0.097697629,0.234292783,0.304255172,0.347062478,0.126619583,0.167426053,0.265013237,0.24357934
